,resp_n_chars,resp_n_words,resp_n_punct,resp_has_multi_excl,resp_has_multi_q,resp_has_ellipsis,resp_n_numbers,resp_n_uncertainty,resp_punct_per_word,resp_numbers_per_word
resp_n_chars,1.0,0.9928482191232261,0.6992196329167352,-0.005435150412181687,-0.0017634362540827695,0.033301799817389725,0.33464386168813687,0.22497148381959753,0.004237385808729934,-0.09898938923522882
resp_n_words,0.9928482191232261,1.0,0.6843531210311251,-0.004896990177480912,-0.0013504812013250423,0.035521110579614816,0.3485950974610976,0.23127154942089384,-0.012829808474514762,-0.09872970787288199
resp_n_punct,0.6992196329167352,0.6843531210311251,1.0,0.0031096440868745947,0.00041722748684842816,0.06605086112601483,0.603829863506537,0.12374413629071841,0.3760967132587174,0.0073106825483611635
resp_has_multi_excl,-0.005435150412181687,-0.004896990177480912,0.0031096440868745947,1.0,-8.216200909414581e-05,0.022074180399972495,-0.00501668525560482,-0.0029061218014455564,0.026251750703699193,-0.00461983595498588
resp_has_multi_q,-0.0017634362540827695,-0.0013504812013250423,0.00041722748684842816,-8.216200909414581e-05,1.0,-0.00019955295669590018,-0.0013639156040733387,-0.001253674518862606,0.0028749747287936953,-0.0011681004701557258
resp_has_ellipsis,0.033301799817389725,0.035521110579614816,0.06605086112601483,0.022074180399972495,-0.00019955295669590018,1.0,0.030930848471347125,0.013957109047382569,0.05831903869993155,-0.0028650492720209107
resp_n_numbers,0.33464386168813687,0.3485950974610976,0.603829863506537,-0.00501668525560482,-0.0013639156040733387,0.030930848471347125,1.0,0.017216896109571157,0.20757658844880406,0.2406910199541619
resp_n_uncertainty,0.22497148381959753,0.23127154942089384,0.12374413629071841,-0.0029061218014455564,-0.001253674518862606,0.013957109047382569,0.017216896109571157,1.0,-0.018338875658320705,-0.04210025703589761
resp_punct_per_word,0.004237385808729934,-0.012829808474514762,0.3760967132587174,0.026251750703699193,0.0028749747287936953,0.05831903869993155,0.20757658844880406,-0.018338875658320705,1.0,0.13420443743660151
resp_numbers_per_word,-0.09898938923522882,-0.09872970787288199,0.0073106825483611635,-0.00461983595498588,-0.0011681004701557258,-0.0028650492720209107,0.2406910199541619,-0.04210025703589761,0.13420443743660151,1.0
