split,y_true,y_pred,score,id,task,group_id,correct,fp,fn,confidence
val,1,0,0.0259748360676093,dialogue_2925_hall,dialogue,dialogue_2925,0,0,1,0.9740251639323907
val,1,0,0.0383025791775452,qa_8385_hall,qa,qa_8385,0,0,1,0.9616974208224548
val,1,0,0.048579855825282,qa_6472_hall,qa,qa_6472,0,0,1,0.951420144174718
val,1,0,0.0551808294543907,dialogue_7817_hall,dialogue,dialogue_7817,0,0,1,0.9448191705456093
val,1,0,0.0552492603952058,summarization_8822_hall,summarization,summarization_8822,0,0,1,0.9447507396047942
val,1,0,0.0553701372234479,summarization_1463_hall,summarization,summarization_1463,0,0,1,0.9446298627765521
val,1,0,0.0613309178921014,dialogue_3726_hall,dialogue,dialogue_3726,0,0,1,0.9386690821078986
val,1,0,0.06432981045788,summarization_6514_hall,summarization,summarization_6514,0,0,1,0.93567018954212
val,1,0,0.0645941826183304,dialogue_2837_hall,dialogue,dialogue_2837,0,0,1,0.9354058173816696
val,1,0,0.0718214356289372,dialogue_6062_hall,dialogue,dialogue_6062,0,0,1,0.9281785643710628
val,1,0,0.0760923230207574,dialogue_9938_hall,dialogue,dialogue_9938,0,0,1,0.9239076769792426
val,1,0,0.0762616071508865,dialogue_7799_hall,dialogue,dialogue_7799,0,0,1,0.9237383928491135
val,1,0,0.0787236938773892,dialogue_1424_hall,dialogue,dialogue_1424,0,0,1,0.9212763061226108
val,1,0,0.0825085772766961,dialogue_1880_hall,dialogue,dialogue_1880,0,0,1,0.9174914227233039
val,1,0,0.0894229094541219,dialogue_7060_hall,dialogue,dialogue_7060,0,0,1,0.9105770905458781
val,1,0,0.090718696742139,qa_7223_hall,qa,qa_7223,0,0,1,0.909281303257861
val,1,0,0.095724795069512,summarization_1131_hall,summarization,summarization_1131,0,0,1,0.904275204930488
val,1,0,0.0973554098595088,summarization_7816_hall,summarization,summarization_7816,0,0,1,0.9026445901404911
val,1,0,0.0998379853622446,qa_4623_hall,qa,qa_4623,0,0,1,0.9001620146377554
val,1,0,0.10148463301293,dialogue_1696_hall,dialogue,dialogue_1696,0,0,1,0.89851536698707
val,1,0,0.1016445940984277,qa_6904_hall,qa,qa_6904,0,0,1,0.8983554059015723
val,1,0,0.1061890095397135,dialogue_5539_hall,dialogue,dialogue_5539,0,0,1,0.8938109904602864
val,1,0,0.1151820679124114,qa_1003_hall,qa,qa_1003,0,0,1,0.8848179320875886
val,1,0,0.1159963103271332,qa_5739_hall,qa,qa_5739,0,0,1,0.8840036896728668
val,1,0,0.1169140254015893,dialogue_3282_hall,dialogue,dialogue_3282,0,0,1,0.8830859745984108
val,1,0,0.1206033445720323,dialogue_8277_hall,dialogue,dialogue_8277,0,0,1,0.8793966554279677
val,1,0,0.1210358401532913,dialogue_9394_hall,dialogue,dialogue_9394,0,0,1,0.8789641598467087
val,1,0,0.1236392936748375,qa_7225_hall,qa,qa_7225,0,0,1,0.8763607063251625
val,1,0,0.1253951648153372,dialogue_8411_hall,dialogue,dialogue_8411,0,0,1,0.8746048351846628
val,1,0,0.1291808797147378,qa_3446_hall,qa,qa_3446,0,0,1,0.8708191202852622
val,1,0,0.1310313230580856,dialogue_2835_hall,dialogue,dialogue_2835,0,0,1,0.8689686769419144
val,1,0,0.1322372208290579,dialogue_1002_hall,dialogue,dialogue_1002,0,0,1,0.8677627791709421
val,1,0,0.1335439551093772,summarization_5563_hall,summarization,summarization_5563,0,0,1,0.8664560448906228
val,1,0,0.1346219146018588,dialogue_7656_hall,dialogue,dialogue_7656,0,0,1,0.8653780853981412
val,1,0,0.1350899378523824,dialogue_9795_hall,dialogue,dialogue_9795,0,0,1,0.8649100621476176
val,1,0,0.1366965074782516,dialogue_1662_hall,dialogue,dialogue_1662,0,0,1,0.8633034925217484
val,1,0,0.1374692617945909,qa_4820_hall,qa,qa_4820,0,0,1,0.862530738205409
val,1,0,0.1402747043103972,dialogue_2184_hall,dialogue,dialogue_2184,0,0,1,0.8597252956896028
val,1,0,0.1407903149429133,dialogue_4092_hall,dialogue,dialogue_4092,0,0,1,0.8592096850570867
val,1,0,0.1408713374136869,qa_8693_hall,qa,qa_8693,0,0,1,0.859128662586313
val,1,0,0.1410942917210925,qa_4573_hall,qa,qa_4573,0,0,1,0.8589057082789076
val,1,0,0.1437712838402254,dialogue_7239_hall,dialogue,dialogue_7239,0,0,1,0.8562287161597746
val,1,0,0.1463137981069797,qa_6630_hall,qa,qa_6630,0,0,1,0.8536862018930202
val,1,0,0.1476081302571253,qa_9177_hall,qa,qa_9177,0,0,1,0.8523918697428747
val,1,0,0.1492362450646596,dialogue_6758_hall,dialogue,dialogue_6758,0,0,1,0.8507637549353404
val,1,0,0.1499886473254099,dialogue_79_hall,dialogue,dialogue_79,0,0,1,0.85001135267459
val,1,0,0.1507684460257655,qa_6645_hall,qa,qa_6645,0,0,1,0.8492315539742346
val,1,0,0.1519834357299848,qa_3988_hall,qa,qa_3988,0,0,1,0.8480165642700153
val,1,0,0.1531835706501526,qa_5614_hall,qa,qa_5614,0,0,1,0.8468164293498475
val,1,0,0.1557772940190324,dialogue_2719_hall,dialogue,dialogue_2719,0,0,1,0.8442227059809676
